Id,CourseName,CourseNumber,DepartmentCode,CourseDescription,Credits
1064,Ergonomics and Injury-Prevention,4650,KINE,"Examination of topics in applied ergonomics as they pertain to reducing the risk of musculoskeletal injuries in the workplace. Students will gain practical experience in applying quantitative and qualitative ergonomic assessment tools. Topics include: the mechanisms of upper limb and low back injuries, the principles of redesigning operations to reduce injury risk, and techniques for optimizing the feasibility that ergonomic changes will be implemented. Includes experience in an occupational setting. (2 lecture, 2 laboratory hours a week.)",3
1065,Physiological Basis of Sports Therapy,4710,KINE,"A physiological examination of athletic injuries and their therapy. Topics to include the prevention of and pathology of injuries, as well as the care of injuries and rehabilitation techniques. (Additional laboratory fee applies.) (2 lecture, 2 laboratory hours a week.)",3
1066, The Social Construction of Leisure,4730,KINE,An examination of leisure as a social activity which is shaped by various societal institutions and social relations.,3
1067, Individual Studies,4750,KINE,The student will select an approved topic and under direction investigate and report on it. (Prerequisite: consent of the instructor is required at least three weeks prior to the end of the Fall or Winter term preceding the term in which enrollment is anticipated.) (Hours to be arranged.),3
1068, Principles of Coaching,4760,KINE,"A critical study of various issues that confront the modern-day coach. Areas of study involve effective coaching techniques; person attributes; motivation and discipline approaches; dealing with problem athletes; and coach-player communication. Stress will be placed upon developing a sound beginning philosophy of coaching, along with looking at the coach as a professional person.",3
1069, Outdoor Recreation,4770,KINE,"Through guided discovery and experiential learning, this course provides knowledge about the outdoors as an alternative recreational medium that fosters deeper awareness of nature, wilderness, and ourselves. Offered in the Fall term before the start of classes. (Prerequisite: demonstrated swimming competence.) (Additional fee applies.)",3
1070, Undergraduate Thesis,4780,KINE,"The Undergraduate Thesis course provides undergraduate students with an opportunity to conduct a full year independent research project under the supervision of a faculty member, culminating in a written thesis. Students enrolled in the course will attend regular meetings throughout the fall and winter terms with their faculty supervisor. Components of the course will include: (a) establishing research questions and design; (b) research proposal document; (c) data collection and analysis; and (d) written and oral presentation of the outcomes of the research project. (Students will normally be in the final year of their degree and in Good Academic Standing. Approval of the supervising faculty member and Thesis Coordinator is required. Students who have already taken two (2) Individual Studies courses (KINE-4750), are not eligible for this course. )",3
1071, Advanced Biomechanics,4800,KINE,This course introduces students to advanced concepts and techniques required in the quantitative biomechanical analysis of human movement. (Open to non-Kinesiology majors with permission from instructor).,3
1072, Group Dynamics in Sport,4850,KINE,The central purpose of this course is to explore individual human behavior in a sport and physical activity context from a group dynamics perspective. Emphasis will be placed on understanding group-based psychological concepts which are pertinent to the field of sport and physical activity.,3
1073," Special Topics in Practice, Theory and Analysis of Sport",4880,KINE,"This is a course in which current topics in the field of Practice, Theory and Analysis of Sport are examined.",3
1074, Special Topics in Sport Management,4890,KINE,This is a course in which current topics in the field Sport Management are examined.,3
1075, Special Topics in Movement Science,4900,KINE,Courses in which current topics associated with Movement Science are examined.,3
1076, Laboratory experiences in Biomechanics and Ergonomics,4910,KINE,"This advanced laboratory course will provide students the opportunity to become familiar with operating common laboratory equipment used in the field of biomechanics and ergonomics. Practical experiences will include anthropometry measurements, force platform data acquisition, gait analysis, video analysis and the use of manual digitizing software, linear and angular kinetics/kinematics analysis, biomechanical model analysis, electromyography, and the use of Microsoft Excel. Students will also have the opportunity to develop the skills required to assess and modify common office and industrial environments, workstations and hand tools found in the workplace to minimize musculoskeletal demands and help prevent injuries in the workplace. (Prerequisites: Completion of all required first and second year Kinesiology courses. Open only to Movement Science Majors.)",3
1077, Laboratory Experiences in Human and Exercise Physiology,4920,KINE,"This advanced laboratory course will provide students the opportunity to become familiar with operating common laboratory equipment used in the field of human and exercise physiology. Practical experiences will include performing health related fitness appraisals involving screening tools, flexibility assessments, body composition measurements, heart rate and blood pressure measurements, electrocardiogram and blood lactate analysis, aerobic and anaerobic musculoskeletal fitness assessments and fitness program prescriptions, and the use of Microsoft Excel. (Prerequisites: Completion of all required first and second year Kinesiology courses. Open only to Movement Science Majors.)",3
1078, Laboratory Experiences in Motor Learning and Psychology of Physical Activity,4930,KINE,"This advanced laboratory course will provide students the opportunity to become familiar with operating common laboratory equipment in the field of motor learning and the psychology of physical activity. Practical experiences will include the use of evaluation tools/checklists used to assess motor control, motor learning and sport psychology, applying both classical and recent methodological protocols, collecting common measurement variables and evaluating personal results. Students will also examine reaction and movement time, Fitts’ Law, practice, balance, and movement planning; as well as the effects of anxiety on sport performance, the use of imagery during sport performance, interviewing skills and evaluation techniques, and the use of Microsoft Excel. (Prerequisites: Completion of all required first and second year Kinesiology courses. Open only to Movement Science Majors.)",3
1079, Internship,4980,KINE,"A supervised, project-driven work experience in an approved setting. The experience will be expected to provide students with an enriched learning opportunity to integrate theory and practice. Internships are open to 4th year Kinesiology students from either major. (Offered on a Pass/Non-Pass basis.) (Prerequisite: consent of the instructor is required at least three weeks prior to the end of the Fall or Winter term preceding the term in which enrollment is anticipated.) (9 hours a week.)",3
1080, Biology of Organisms,1003,BIOL,"Genetics, energetics, and the diversity of life. Properties of living organisms from the level of the cell through tissues, organs and organ systems, to the functioning, integrated organism. This course is offered on-campus and as a distance course. (Intended for non-majors and students requiring preparation for BIOL-1111 and BIOL-1101.) (Not counted for credit in any Faculty of Science program.) (2 lecture hours a week.)",3
1081, Organisms and the Environment,1013,BIOL,Organisms interacting with other organisms and with their physical environment. Ecological impacts of human activity. This course is offered on-campus and as a distance course. (Intended for non-majors and students requiring preparation for BIOL-1111 and BIOL-1101.)(Not counted for credit in any Faculty of Science program.) (2 lecture hours a week.),3
1082, Cell Biology,1101,BIOL,"Examination of the principles governing living systems, with emphasis on the molecular and cellular basis of life, molecular genetics, energetics, differentiation, and development. (Grade 12 “U” Biology or equivalent, or BIOL-1003 and BIOL-1013 are strongly recommended) (3 lecture, 3 laboratory hours a week.)",3
1083, Biological Diversity,1111,BIOL,"Principles governing living systems; the origins and diversity of life; evolution, reproduction, and heredity; the structure and function of viruses through plants and animals; basic principles of ecology. (Grade 12“U” Biology or equivalent, or BIOL-1003 and BIOL-1013 are strongly recommended) (3 lecture, 3 laboratory hours a week.)",3
1084, Anatomy and Physiology I,1750,BIOL,"This introductory course will expose the beginning nursing student to the foundations of anatomy and physiology within the context of nursing and health. Review of the systems will incorporate not only the anatomy and physiology of the system, but its relevance and importance to the care of the patient. Practical laboratory work will complement lectures and integrate theory with clinical application and health assessment I. (3 lecture, 2 laboratory hours every other week). (Co-requisite NURS-1660) (Pre-requisite: Nursing Student) (Cross-listed with NURS-1750).",3
1085, Anatomy and Physiology II,1770,BIOL,"This course is a continuation of Anatomy and Physiology I (NURS-1750/BIOL-1750). The nursing student will continue to learn the foundations of anatomy and physiology within the context of nursing and health sciences. Continued review of the systems not covered in Anatomy and Physiology I will incorporate not only the anatomy and physiology of the system, but its relevance and importance to the care of the patient. Practical laboratory work will complement lectures and integrate theory with clinical application and health assessment II. (3 lecture, 2 laboratory hours every other week). (Co-requisite NURS-1760) (Pre-requisite NURS-1750 or BIOL-1750). (Cross-listed with NURS-1770).",3
1086, Human Anatomy,2021,BIOL,"Systemic analysis of the structure of the human body, including gross and microscopic morphology. Topics include anatomical terminology and structures of cells, tissues and the major organ systems. Practical laboratory work will complement lectures with emphasis on gross dissection. (Prerequisites: any two first year biology courses.) (3 lecture, 2 laboratory hours a week.)",3
1087, Genetics,2023,BIOL,"The course reviews transmission genetics and principles of inheritance. The material also includes non-nuclear inheritance and gene linkage, gene expression and regulation, mechanisms and phenotypic effects of DNA mutation and repair, and the principles and applications of population and quantitative genetics. Students will be exposed to molecular genetic techniques such as PCR and DNA sequencing. This is a distance course designed primarily for graduates of programs in Medical Technology from a College of Applied Arts and Technology. This course may not count as a major requirement for Biology Majors. (Antirequisite: BIOL-2111; prerequisites: BIOL-1111 and BIOL-1101, or the equivalent.) (3 lecture hours or equivalent a week.)",3
1088, Introductory Molecular Biology,2033,BIOL,"Basic introduction to the molecular biology of the cell with emphasis on basic life processes in both plants and animals, including metabolism, energy transformations, transport mechanisms, signal transduction, and other general functions. The major topics covered include: Regulation of eukaryotic gene expression, fundamental aspects of recombinant DNA technology, DNA cloning, hybridization analysis, microarrays, and protein structure and function. (Antirequisite: BIOL-2131; Prerequisite: BIOL-1111 and BIOL-1101) (3 lecture hours or equivalent a week.) (A distance course restricted to graduates of programs in Medical Technology from a College of Applied Arts and Technology with more than 100 hours of certified laboratory experience; or by consent of the instructor.)",3
1089, Human Physiology I,2040,BIOL,"Introduction to human physiology: a systems approach. Topics include homeostasis and feedback control, enzymes and energy, membrane transport, metabolism, and the nervous, skeletal muscle, and cardiovascular systems. This course is offered on-campus and a distance course. (Prerequisites: any two first year biology courses.) (3 lecture hours a week.)",3
1090, Human Physiology II,2050,BIOL,"Introduction to human physiology: a systems approach. Topics include respiratory, endocrine, digestive and renal systems, and control of metabolism. (Prerequisite: BIOL-2040 or consent of instructor.) (3 lecture hours a week.)",3
1091, Introductory Microbiology,2070,BIOL,"Growth, genetics, structure, physiology, and diversity of microbes and viruses. This course is offered on-campus and as a distance course. (Prerequisites: any two first year biology courses; Antirequisite: BIOL-2071.) (3 lecture hours a week.)",3
1092, Introductory Microbiology and Techniques,2071,BIOL,"Growth, genetics, structure, physiology, and diversity of microbes and viruses. (Antirequisites: BIOL-2070; prerequisites: BIOL-1111 and BIOL-1101.) (3 lecture, 3 laboratory hours a week including follow-up visits outside scheduled times)",3
1093, Economic Botany,2080,BIOL,"Earth’s biosphere is the product of plant activity and animal life and is ultimately dependent on plants. This course provides basic plant biology as a background to a discussion of the relationship between humans and plants, particularly economically important plants and their products. Plants used for food, flavours, drugs, stimulants, fuel and/or industrial raw materials will be explored. (Prerequisite: BIOL-1111 and BIOL-1101 or permission of the instructor.) (3 lecture hours.)",3
1094, Ecology,2101,BIOL,"Introduction to the fundamental concepts of ecology including factors affecting species distribution, reproductive strategies, population growth and regulation, species interactions, and community level organization and energetics. (Prerequisites: BIOL-1111 and BIOL-1101.) (3 lecture, 3 laboratory/discussion hours a week.)",3
1095, Genetics,2111,BIOL,"The course reviews transmission genetics and principles of inheritance. The material also includes non-nuclear inheritance and gene linkage, gene expression and regulation, mechanisms and phenotypic effects of DNA mutation and repair, and the principles and applications of population and quantitative genetics. Students will be exposed to molecular genetic techniques such as PCR and DNA sequencing. (Antirequisite: BIOL-2023; Prerequisite: BIOL-1111 and BIOL-1101.) (3 lecture, 3 laboratory hours a week.)",3
1096, Introductory Molecular Biology,2131,BIOL,"Basic introduction to the molecular biology of the cell with emphasis on basic life processes in both plants and animals, including metabolism, energy transformations, transport mechanisms, signal transduction, and other general functions. The major topics covered include: Regulation of eukaryotic gene expression, fundamental aspects of recombinant DNA technology, DNA cloning, hybridization analysis, microarrays, and protein structure and function. Practical laboratory work will complement the lectures. (Antirequisite: BIOL-2033; Prerequisite: BIOL-1111, BIOL-1101, and BIOL-2111; suggested Corequisite: BIOC-2010.) (3 lecture, 3 laboratory hours or equivalent a week.)",3
1097, Principles of Neuroscience,2480,BIOL,"This course is meant to serve as a survey course that will provide familiarity with and an understanding of the basic principles of Neuroscience. The main emphasis will be on the morphology of neural systems, processes of neural signalling and communication, and how such basics relate to sensory processes and behaviour. The main purposes of the course are to provide a background for students interested in, and those taking higher level courses related to the neurosciences. (Prerequisites: BIOL-1111, BIOL-1101, and BIOL-2040 (or KINE-1050 or KINE-2600), or permission of instructor.) (3 lecture hours.)",3
1098, Research Principles and Study Design in Biological Sciences,3022,BIOL,"Introduction to the logic and principles used to develop sound and efficient studies in the biological sciences: generating, testing, and discriminating among hypotheses; dealing with unwanted sources of variation; ; selecting and executing statistical analyses and evaluating their assumptionss and appropriate choice of statistical analysis. Instruction in the use of selected network and personal computer software for data analysis and presentation. (Prerequisites: BIOL-2101, BIOL-2111, BIOL-2131, and STAT-2910, or consent of instructor.) (3 lecture, 2 laboratory/tutorial hours a week.)",3
1099, Medical Microbiology,3070,BIOL,"Viral and bacterial pathogenesis, including the processes and genetic control of human diseases. This course is offered on-campus and as a distance course. (Antirequisite: BIOL-3071; Prerequisite: BIOL-2070 or BIOL-2071.) (3 lecture hours a week.)",3
1100, Medical Microbiology and Techniques,3071,BIOL,"Viral and bacterial pathogenesis, including the processes and genetic control of human diseases. (Antirequisite: BIOL-3070; prerequisite: BIOL-2071.) (3 lecture, 3 laboratory hours a week including follow-up visits outside scheduled lab times.)",3
1101, Evolution,3142,BIOL,"Topics include the interaction of gene mutation, selection, and population characteristics in the process of evolution, mechanisms of speciation, and current problems in evolution. (Prerequisite: BIOL-2111.) (3 lecture hours and 1 tutorial hour a week.)",3
1102, Environmental Physiology,3212,BIOL,"This course is designed to introduce students to the diversity of adaptations possessed by organisms (including humans) enabling them to successfully interact with and survive in their abiotic/biotic environments. Topics will include overviews of the mechanisms organisms use to balance energetics, homeostasis and metabolism in environments varying in temperature, water availability, resources and oxygen. Descriptions of these systems will be supplemented frequently with the current methods that medical-, field- and laboratory-based researchers use to investigate these physiological adaptations to the environment. (Prerequisite: BIOL-2101 or consent of instructor) (3 lecture hours, 1 tutorial hour a week)",3
1103, Animal Behaviour,3230,BIOL,"This course will emphasize the link between organisms and their environment. The thrust of the course will be to understand why different species behave in different ways and why within species there may be individual differences in behaviour. The aim of the course is to derive a basic understanding of how animals have evolved behaviours that aid in survival and reproduction. Students will gain experience by participating in activities throughout the term. (Prerequisites: BIOL-2101, BIOL-2111, and BIOL-2131, or permission of instructor.) (3 lecture hours a week.)",3
1104, Fishes and Fisheries,3241,BIOL,"The fishes are the most diverse, the oldest, and the most abundant group of vertebrates on earth. This course surveys their evolution, their phylogenetic relationships, and their morphological, physiological, behavioural, and ecological adaptations to life in virtually every aquatic environment on earth. The laboratory includes units on gross anatomy of a typical actinopterygian fish, identification of local fauna, study of age and growth, and other selected topics. (Prerequisites: BIOL-2101, BIOL-2111, BIOL-2131.) (3 lecture, 3 laboratory hours a week)",3
1105, Ornithology,3261,BIOL,"This course gives students a thorough understanding of the biology of birds, with an emphasis on avian ecology, evolution, and behaviour. This course complements Ecology, Evolution, Physiology, Animal Behaviour, and Conservation. Classroom lectures are integrated with laboratory exercises which provides students with hands-on exposure to the topics covered. Students will learn to identify the common birds in the Windsor area. All students are required to participate in a full-day laboratory at Point Pelee and Holiday Beach on a weekend in late September or early October. (Prerequisite: BIOL-2101.) (3 lecture, 3 laboratory hours a week.)",3
1106, Invertebrate Biology,3291,BIOL,"Survey of major classes of the invertebrates from an evolutionary, phylogenic, and ecological perspective. Emphasis on the morphological, physiological, and behavioural adaptations that permit animals to exploit the full range of earth's habitats, including the living bodies of other organisms (parasitism). (Prerequisites: BIOL-2101, BIOL-2111, and BIOL-2131.) (3 lecture, 3 laboratory hours a week.)",3
1107, Population and Community Ecology,3250,BIOL,"This course will examine the ecology of individual populations and the interactions of species within communities. Topics of population ecology will investigate ecological patterns and dynamics, as well as population growth and regulation, linking to processes occurring at lower (individual and within-individual) and higher (species interactions, communities, and ecosystems) levels of biological organization. Topics of community ecology will build upon these same ideas, but by examining the dynamics of assemblages of populations of two or more species co-occurring in the same geographic area. (Prerequisite: BIOL-2101.) (3 lecture hours a week.)",3
1108, Plant Ecology,3281,BIOL,"Evolutionary and community aspects of plant interactions with other organisms and the physical environment. The course deals with plant demography at different levels: individual, population, community, and ecosystem. (Prerequisite: BIOL-2080 and BIOL-2101.) (3 lecture, 3 laboratory hours a week.)",3
1109,"	Molecular Cell Biology",3500,BIOL,"An integration of recent findings in molecular and cell biology with those in genomics. The course emphasizes the general behaviour of biological macromolecules and energy transfer mechanisms, leading to in-depth review of the regulation of genome replication and recombination, gene transcription, protein translation, and epigenetic mechanisms governing gene regulation. This course is offered on-campus and as a distance course. (Prerequisites: BIOL-2111 and BIOL-2131, or BIOL-2023 and BIOL-2033 with appropriate laboratory experience and signature of instructor.) (3 lecture hours a week.)",3
1110, Advanced Cell Biology,3530,BIOL,"This course will examine, at the molecular level, the basic working of a cell; dealing with several aspects of eukaryotic cell biology including intracellular transport, cell-to-cell communication and signal transduction, the cytoskeleton, cell growth and division, apoptosis, cell adhesion and cell migration. In addition to exploring the current state of the field, lecture material will highlight some of the critical experiments in diverse areas of molecular biology, genetics, biochemistry and cell imaging that have contributed to our current understanding. (Prerequisites: BIOL-2111 and BIOL-2131, or BIOL-2023 and BIOL-2033 with appropriate laboratory experience and permission of instructor.) (3 lecture hours a week.)",3
1111, Embryology,3550,BIOL,"Cellular, molecular, and biochemical mechanisms of gametogenesis, fertilization, cleavage, and organogenesis in a variety of animal systems. A major paper is required. (Prerequisites: BIOL-2111, and BIOL-2131.) (3 lecture hours a week.)",3
1112, Homeostasis and Cell Physiology,3560,BIOL,"This course will explore the amazing variety of signals in the animal body, and how they are sent and received by cells in different tissues to maintain homeostasis. Particular attention will be paid to the cellular and molecular mechanisms underlying blood pressure, thermoregulation, circadian rhythms and sleep, metabolism, inflammation and stress, and adult tissue stem cells. This course will focus on how signals are propagated between and within cells of different tissues, and how they relate to animal biology, health and disease. (Prerequisite: BIOL-2131) (3 lecture hours a week)",3
1113, Animal Cells and Tissues,3571,BIOL,"The structure and organization of animal systems at the tissue, cellular, and subcellular levels. Contemporary techniques, including electron microscopy, immunocytochemistry, and in situ hybridization are discussed. (Prerequisites: BIOL-2111 and BIOL-2131.) (2 lecture, 3 laboratory hours a week.)",3
1114, Biotechnology Laboratory,3581,BIOL,"This intensive laboratory course will primarily simulate the discovery and rapid protein characterization of genes and gene products. Laboratory experiments will include cutting edge biotechnology techniques and traditional biochemical and molecular biology methodology. For example, DNA/plasmid isolation, cloning, DNA sequencing and analysis, introduction to bioinformatics and microarray technology, characterization of cloned products, protein isolation and characterization, and determination of enzymatic catalysis and regulation will be used to study this enzyme on a genetic and protein level. Other topics include forensic genetics and plant biotechnology. (Prerequisite: BIOL-2131 and BIOC-2010.) (1 tutorial/lecture hour and 6 laboratory hours per week over two terms, 6 credit course.) (Registration priority will be given to students for which this course is a program requirement.)",3
1115, Special Topics in Biology,4008,BIOL,Note: Special Topics in Biology: Epigenetics requires prerequisite: BIOL-3500 or BIOL-3530.,3
1116, Speciation,4212,BIOL,"The course will present an overview of current knowledge, controversy and research directions into the origin of species and will include topics such as species concepts, methods of studying speciation, tempo and modes of speciation, isolation mechanisms, reinforcement, and macroevolution. Background in basic Mendelian genetics, population genetics, evolution, ecology and biological diversity is required. (Prerequisite: BIOL-3142 ) (2 lecture hours, 1 tutorial hour a week)",3
1117, Pollution Ecology,4232,BIOL,"The transport, fate and effects of pollutants in aquatic ecosystems; food web modelling in the context of pollutant fate; risk assessment. Topics will include toxicokinetics, toxicity testing, and measurements of pollutant stress. (Prerequisites: BIOL-2101 and BIOL-2131.) (3 lecture hours a week, 1 hour week tutorial.)",3
1118, Stream Ecology,4241,BIOL,"Physical properties and biotic responses in rivers, including morphometry, energy processing, behavioural adaptations of organisms, and interactions among organisms. (Prerequisite: BIOL-2101.) (3 lecture, 3 laboratory hours a week, and a field trip.)",3
1119, Evolutionary Endocrinology,4252,BIOL,"This course will examine the molecular, cellular and organismal processes underlying the functioning of the major vertebrate endocrine systems. Topics will include overviews of the major vertebrate endocrine systems (e.g., reproductive, stress, metabolic, developmental etc.) by integrating recent medical-, field- and laboratory-based experimental research to explore the role of endocrine systems in our lives. The evolutionary role of hormones will be emphasized throughout as a means for medical health practitioners and environmental biologists to appreciate how and why complex endocrine systems are impacted by human-induced changes in the environment. (Prerequisite: BIOL-2101 or consent of instructor) (3 lecture hours, 1 tutorial hour a week)",3
1120, Animal Communication,4262,BIOL,"This course will cover mechanistic and evolutionary aspects of communication in vertebrates and invertebrates across four signaling modalities: visual, acoustic, chemical, and electrical. The first part of the course will review mechanisms of signal production, transmission through the environment, and perception by signal receivers for each signaling modality. The second part of the course will examine how natural and sexual selection shape the evolution of communication strategies in animals. The approach will be explicitly evolutionary, and will draw from a broad range of disciplines including physics, chemistry, ecology, psychology, and behavioural ecology. (Prerequisite: BIOL-2101.) (3 lecture hours per week. 2 tutorial hours every other week.)",3
1121, Conservation Biology,4270,BIOL,"Principles of conservation biology emphasizing population and biogeographic attributes, including genetics, habitat fragmentation, and island processes, which characterize endangered species and habitats. Case studies of management of threatened species and habitats will be addressed. (Prerequisites: BIOL-2101 and BIOL-2111, or consent of instructor.) (3 lecture hours a week.)",3
1122, Limnology,4280,BIOL,"Selected aspects of the ecology of large water masses - large lakes and estuaries. Emphasis on physical properties and chemical dynamics of aquatic systems, and on life history requirements in such systems. (Prerequisite: BIOL-2101 or BIOL-4864.) (3 lecture hours a week.)",3
1123, Neurophysiology,4440,BIOL,"This course will examine the cellular, synaptic, and molecular processes responsible for the functions of the nervous system. Topics will include the generation, transmission, and integration of neural signals. The course will also discuss how functions of the brain in the processing of sensory information, controlling of movement, and generation of complex mental activity are dependent on neural signaling. Modern neurophysiological research methods and their applications in the study of brain function will be discussed. (Prerequisite: BIOL-2480 or permission from the instructor.) (3 lecture hours a week.)",3
1124, Behavioural Neurobiology,4450,BIOL,"This course will cover the structural, physiological, and biochemical mechanisms in the nervous system that are important for animal natural behaviours. In-depth case studies will be conducted to examine how animals have developed neural mechanisms for solving behavioural problems encountered in their environmental niches. Topics will be related to sensory processing, motor control, and learning and memory. Research methods used in the study of neural mechanisms of behaviour will also be discussed. (Prerequisite: BIOL-2480) (3 lecture hours a week)",3
1125, Excitable Cells,4481,BIOL,"A systemic view of regulation in the nervous system. Physiological control mechanisms at the levels of molecules through cells, neural circuits and neural muscular regulation are discussed and investigated. (Prerequisites: BIOL-2131 and BIOL-2480.) (2 lecture, 3 laboratory hours a week.)",3
1126, Stem Cell Biology,4510,BIOL,"Stem cells are populations of cells present in the body that divide to make all the cells that compose specific tissues and organs. What we know about stem cells is the result of rapidly evolving, and sometimes controversial, research. This seminar course deals with current research topics in stem cell biology. Topics will include: stem cell potency, embryonic precursors vs adult tissue stem cells, symmetry of division versus clonal drift, regeneration and healing, and whether stem cells contribute to ageing. The purpose of this course is to develop a knowledge of core concepts that guide research in this area. (Prerequisites: BIOL-2111 and BIOL-2131.) (3 lecture hours a week.)",3
1127, Biology of Cell Transformation,4530,BIOL,"Molecular and cellular mechanisms of cell transformation and tumor development with emphasis on the role of oncogenes and environmental factors in cell transformation, and on the cellular and molecular biology of malignantly transformed (cancerous) cells, experimental analysis and applications. A major paper and/or seminar is required. (Prerequisites: BIOL-3500 or BIOL-3530, CHEM-2300, BIOC-2010, and consent of instructor.) (3 lecture hours).",3
1128,"	Regenerative Biology and Disease",4540,BIOL,"With the explosion of knowledge from molecular biology and the burgeoning interest in generating or regenerating tissues or organs through various bioengineering or stem cell approaches, this course will explore the phenomenon of regeneration and continual post-natal development from a broad biological perspective. This will involve analysing molecular pathways regulating stem cell differentiation, how specialized cells proliferate and undergo programmed cell death and how the architecture of tissues is preserved despite the constant replacement of old cells by new. We will also discuss how abrogation of these programs underlie a large number of developmental disorders. (Prerequisites: Any 1 course chosen from BIOL-3500, BIOL-3530 or BIOL-3550.) (3 lecture hours a week.)",3
1129, Developmental Signaling and Developmental Genetics,4550,BIOL,"Analysis at the molecular level of the activation and control of genes and proteins during oogenesis and early development in lower and higher eukaryotes. (Prerequisite: Any 2 courses chosen from BIOL-3500, BIOL-3530 or BIOL-3550.) (3 lecture hours a week.)",3
1130, Molecular Biotechnology,4560,BIOL,"Introduction to the techniques and applications of recombinant DNA technology and genetic engineering. Topics include the generation of transgenic organisms (microbes, plants, and animals) and their impact on agriculture and medicine. The social ramifications of these technologies will be discussed. (Prerequisites: BIOL-3500 or BIOL-3530.) (3 lecture hours a week.)",3
1131, Plant Molecular Biology and Physiology,4570,BIOL,"Plant development and its coordination by means of hormones and other molecular signals. Molecular approaches applied to the analysis and modification of plant development will be discussed. (Prerequisite: BIOL-2131.) (2 lecture hours, 1 seminar hour a week.)",3
1132, Epigenetics,4590,BIOL,"This course will examine our current understanding of “Epigenetics”, the study of heritable changes in gene expression that occur without a change in DNA sequence. Epigenetics is an area under intensive scientific investigation. The goal of the course is to provide an introduction to the fundamentals of epigenetic control along with an understanding of the interplay between epigenetics and disease, health, behaviour, and the environment. (Prerequisite: BIOL-3500 or BIOL-3530)",3
1133, Great Lakes Field Biology,4864,BIOL,"The physical, chemical, and biological properties of the Great Lakes system; measures of transport and fate of contaminants in aquatic systems and food webs; changes in species abundance, composition, and distributions. Field work stresses sampling techniques and measurements of temporal and spatial variation. Students are required to complete a project and present a seminar. (Prerequisites: BIOL-2101 and STAT-2910, or consent of instructor.) (2 weeks, Intersession; 26 hours lecture, 52 hours field/laboratory work, 8 hours seminar.)",3
1134, Field Course in Tropical Ecology,4874,BIOL,"This two-week field course is a hands-on exploration of the flora and fauna of the tropics with an emphasis on ecology, behaviour, evolutionary adaptations, and community relationships. The course is normally held in Costa Rica but may occasionally be offered at other sites in the Neotropics. Field research will include identifying birds, mammals, reptiles, amphibians, insects, and plants; studying the ecology of neotropical animals in multiple ecosystems; capturing and banding birds; monitoring the social behaviour of monkeys; observing army ants, leaf-cutter ants, termites, ant/acacia mutualisms; and assessing different conservation practices. The course consists of field excursions, lectures, and data collection for independent projects. Project reports are submitted within one month of the completion of the course field component. The course will usually take place during the Winter Study Week and one week before or after. (Pre-requisite: BIOL-2101 and permission of instructor)",3
1135, Undergraduate Research in Biology,4904,BIOL,"Completion of an undergraduate research project, including an oral presentation at an annual colloquium and submission of written final report. (10 laboratory hours a week; offered over two terms.) (A 6.00 credit hour research project which counts as two courses.) (Registration and selection of a supervisor requires the consent of the Department Head) (Prerequisites: major average of 70% and a cumulative average of 60%.)",3
1136,Organic Chemistry of Biomolecules,2010,BIOC,"An extension of the principles covered in CHEM-2300 to the structure and properties of organic molecules of biological significance (i.e., proteins, nucleic acids and lipids). (Prerequisite: CHEM-2300.) (3 lecture, 3 laboratory hours a week.)",3
1137,Organic Chemistry of Biomolecules,2015,BIOC,"The same as BIOC-2010 but without the laboratory. (Prerequisite: CHEM-2300 or CHEM-2305 or consent of the department.) (3 lecture hours a week.) (Not available for credit to students majoring in Chemistry, Biochemistry, Biochemistry-Biotechnology, Biology-Biotechnology or Biological Sciences or students minoring in Chemistry or Biochemistry.) (BIOC-2015 may not be used as a pre-requisite for BIOC-3100, BIOC-3110, BIOC-3130 or BIOC-3581 nor as one of the eight additional Science courses at the 200 level or above for students majoring in General Science)",3
1138,Metabolism I,3100,BIOC,"Catabolism and the generation of phosphate bond energy. Introduction to chemistry of life, principles of bioenergetics, glycolysis, glycogen breakdown, citric acid cycle, electron transport/oxidative phosphorylation, pentose phosphate pathway, fatty acid oxidation - ketone bodies, amino acid degradation energy metabolism. (Prerequisite: BIOC-2010.) (3 lecture hours a week.)",3
1139,Metabolism II,3110,BIOC,"The utilization of phosphate bond energy will be illustrated by carbohydrate, fatty acid, nucleotide and lipid biosynthesis, hormonal (G-proteins) and metabolite regulation, biological membranes (structure and transport mechanisms) and contractile processes (muscle biochemistry). (Prerequisite: BIOC-3100.) (2 lecture hours a week.)",3
1140,Protein and Nucleic Acid Chemistry,3130,BIOC,The covalent and three dimensional structures of these macromolecules will be described in conjunction with study of the chemical and physical methods used in their purification and characterization. (Prerequisite: BIOC-2010.) (2 lecture hours a week.),3
1141,Pharmacology for Health Sciences,3310,BIOC,"A lecture course of particular interest to students in the health sciences areas. The course material includes the principles of pharmacokinetics and pharmacodynamics, and is aimed at developing an understanding of the function of the human body with respect to the use and effects of drugs in health and disease. (Prerequisites: One of BIOC-2010 or BIOC-2015.) (3 lecture hours a week.)",3
